Iteration: #392, Cost: nan, Gradient Magnitude: 79.32
Iteration: #393, Cost: nan, Gradient Magnitude: 79.16
Iteration: #394, Cost: nan, Gradient Magnitude: 79.00
Iteration: #395, Cost: nan, Gradient Magnitude: 78.84
Iteration: #396, Cost: nan, Gradient Magnitude: 78.69
Iteration: #397, Cost: nan, Gradient Magnitude: 78.53
Iteration: #398, Cost: nan, Gradient Magnitude: 78.38
Iteration: #399, Cost: nan, Gradient Magnitude: 78.22
Iteration: #400, Cost: nan, Gradient Magnitude: 78.07
Iteration: #401, Cost: nan, Gradient Magnitude: 77.91
Iteration: #402, Cost: nan, Gradient Magnitude: 77.76
Iteration: #403, Cost: nan, Gradient Magnitude: 77.60
Iteration: #404, Cost: nan, Gradient Magnitude: 77.45
Iteration: #405, Cost: nan, Gradient Magnitude: 77.30
Iteration: #406, Cost: nan, Gradient Magnitude: 77.14
Iteration: #407, Cost: nan, Gradient Magnitude: 76.99
Iteration: #408, Cost: nan, Gradient Magnitude: 76.84
Iteration: #409, Cost: nan, Gradient Magnitude: 76.69
Iteration: #410, Cost: nan, Gradient Magnitude: 76.54
Iteration: #411, Cost: nan, Gradient Magnitude: 76.38
Iteration: #412, Cost: nan, Gradient Magnitude: 76.23
Iteration: #413, Cost: nan, Gradient Magnitude: 76.08
Iteration: #414, Cost: nan, Gradient Magnitude: 75.93
Iteration: #415, Cost: nan, Gradient Magnitude: 75.78
Iteration: #416, Cost: nan, Gradient Magnitude: 75.63
Iteration: #417, Cost: nan, Gradient Magnitude: 75.48
Iteration: #418, Cost: nan, Gradient Magnitude: 75.33
Iteration: #419, Cost: nan, Gradient Magnitude: 75.19
Iteration: #420, Cost: nan, Gradient Magnitude: 75.04
Iteration: #421, Cost: nan, Gradient Magnitude: 74.89
Iteration: #422, Cost: nan, Gradient Magnitude: 74.74
Iteration: #423, Cost: nan, Gradient Magnitude: 74.59
Iteration: #424, Cost: nan, Gradient Magnitude: 74.45
Iteration: #425, Cost: nan, Gradient Magnitude: 74.30
Iteration: #426, Cost: nan, Gradient Magnitude: 74.15
Iteration: #427, Cost: nan, Gradient Magnitude: 74.00
Iteration: #428, Cost: nan, Gradient Magnitude: 73.86
Iteration: #429, Cost: nan, Gradient Magnitude: 73.71
Iteration: #430, Cost: nan, Gradient Magnitude: 73.57
Iteration: #431, Cost: nan, Gradient Magnitude: 73.42
Iteration: #432, Cost: nan, Gradient Magnitude: 73.28
Iteration: #433, Cost: nan, Gradient Magnitude: 73.13
Iteration: #434, Cost: nan, Gradient Magnitude: 72.99
Iteration: #435, Cost: nan, Gradient Magnitude: 72.84
Iteration: #436, Cost: nan, Gradient Magnitude: 72.70
Iteration: #437, Cost: nan, Gradient Magnitude: 72.56
Iteration: #438, Cost: nan, Gradient Magnitude: 72.41
Iteration: #439, Cost: nan, Gradient Magnitude: 72.27
Iteration: #440, Cost: nan, Gradient Magnitude: 72.13
Iteration: #441, Cost: nan, Gradient Magnitude: 71.99
Iteration: #442, Cost: nan, Gradient Magnitude: 71.84
Iteration: #443, Cost: nan, Gradient Magnitude: 71.70
Iteration: #444, Cost: nan, Gradient Magnitude: 71.56
Iteration: #445, Cost: nan, Gradient Magnitude: 71.42
Iteration: #446, Cost: nan, Gradient Magnitude: 71.28
